"","Label","Count","min","mean","median","max"
"1","fitted","N_i",1.25623053070928e-10,156848203001.678,137.38369093377,38648223916069688
"2","fitted","N_j",1.45560668401103e-08,216983501701.278,15.0543005294321,105970606818783216
"3","fitted","Y_i",0,156848203236.795,138,38648223805982432
"4","fitted","Y_j",0,216983501759.982,15,105970606823809136
"5","original","N_i",4.56281663614246e-05,786008.910586475,149.515866031979,2407532792.9271
"6","original","N_j",0.000154941087497966,2167.62577122817,19.6340985134516,531153.102629194
"7","original","Y_i",0,786009.71,150,2407485268
"8","original","Y_j",0,2168.0984,20,532161
