"","Label","Count","min","mean","median","max"
"1","fitted","N_i",0,4.12732749087009e+302,22.6267080653007,8.78448006780619e+307
"2","fitted","N_j",0,3.24000067358712e+301,20.3425528923647,1.49023007124102e+307
"3","fitted","Y_i",0,4.12732749087009e+302,23,8.78448006780619e+307
"4","fitted","Y_j",0,3.24000067358712e+301,20,1.49023007124102e+307
"5","original","N_i",8.12705504246941e-06,41676.5806520754,20.8807198910293,43493369.2267944
"6","original","N_j",0.00130731379264128,768.624234560933,23.4322575242333,286512.220770199
"7","original","Y_i",0,41679.6646,21,43501563
"8","original","Y_j",0,768.0686,24,285624
