"","Count","min","mean","median","max"
"1","N_i",0,1.67045630423034e+303,1661.77750892095,1.10855786843484e+308
"2","N_j",0,2.16695387107339e+303,2251.7269274841,1.53836012820827e+308
"3","Y_i",0,1.67045630423034e+303,1661,1.10855786843484e+308
"4","Y_j",0,2.16695387107339e+303,2253,1.53836012820827e+308
