"","Label","Count","min","mean","median","max"
"1","fitted","N_i",6.24254171022504e-12,7.5790799803317e+20,968.319783380133,3.7280452184185e+26
"2","fitted","N_j",4.51559970149489e-16,9.95742706558133e+27,2496.65828917947,3.73642080589801e+33
"3","fitted","Y_i",0,7.57907998033103e+20,968.5,3.72804521841816e+26
"4","fitted","Y_j",0,9.95742706558133e+27,2499,3.73642080589801e+33
"5","original","N_i",5.00465861355951,22.5525756755284,21.1975454080374,79.4880266510756
"6","original","N_j",6.7983930223256,23.2666960557915,22.1093323560142,68.8524661458633
"7","original","Y_i",3,22.4972,21,86
"8","original","Y_j",4,23.1654,22,80
