"","Count","min","mean","median","max"
"1","N_i",2.3614734383857e-255,1.60189219730617e+205,101.466653124992,6.72794702098595e+210
"2","N_j",2.61338379963468e-195,3.14795278902832e+237,25.483926777266,1.32214015819002e+243
"3","Y_i",0,1.60189219730617e+205,101,6.72794702098595e+210
"4","Y_j",0,3.14795278902832e+237,25,1.32214015819002e+243
