,Label,Count,min,mean,median,max,,,,,,
1,fitted,N_i,7.56E-09,70884012.53,20.52903098,1.64611E+13,,N_i,0.00,1.48E+04,26.46,4.18E+07
2,fitted,N_j,5.29E-08,11459981.21,19.0281874,2.44263E+12,,N_i,0.00,7.09E+07,20.53,1.65E+13
3,fitted,Y_i,0,70883998.59,20,1.64611E+13,,N_i,0.00,4.13E+302,22.63,8.78E+307
4,fitted,Y_j,0,11459980.21,19,2.44263E+12,,,,,,
5,original,N_i,5.83E-05,14838.36368,26.4630532,41817622.34,,N_j,0.00,1.45E+04,15.18,4.46E+07
6,original,N_j,3.20E-05,14522.3177,15.18411864,44590356.03,,N_j,0.00,1.15E+07,19.03,2.44E+12
7,original,Y_i,0,14838.6208,26,41824222,,N_j,0.00,3.24E+301,20.34,1.49E+307
8,original,Y_j,0,14521.7114,15,44588536,,,,,,
